City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Lagos,NG,84.52,moderate rain,6.5833,3.75,
396,Bandarbeyla,SO,78.82,few clouds,9.4942,50.8122,JABIR HOTEL
399,Amahai,ID,78.58,broken clouds,-3.3333,128.9167,HOTEL ISABELA
400,Aquidauana,BR,90.0,scattered clouds,-20.4711,-55.7872,HOTEL ARARAS
402,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
404,Puerto Madero,MX,84.4,clear sky,14.7208,-92.4215,Hotel La Central
405,Tapes,BR,76.8,clear sky,-30.6733,-51.3958,Cabanas Camping Union
406,Ugoofaaru,MV,81.1,moderate rain,5.6667,73.0,Ungoofaaru Inn
407,Barwadih,IN,72.05,overcast clouds,23.8333,84.1167,Forest Rest House
409,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
411,Sunrise Manor,US,71.06,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
417,Tadine,NC,71.76,overcast clouds,-21.55,167.8833,
418,Gampaha,LK,80.53,heavy intensity rain,7.0897,79.9925,Villa Taprobane
426,San Ciro De Acosta,MX,74.32,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
427,Colesberg,ZA,73.22,broken clouds,-30.72,25.0972,Bhelekazi Guesthouse
430,Sola,VU,80.92,few clouds,-13.8833,167.55,Leumerus Bungalows
431,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
432,Mandali,IQ,74.19,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
433,Norala,PH,74.89,moderate rain,6.5225,124.6592,Micro Enterprise Harvester
438,Darnah,LY,72.7,overcast clouds,32.767,22.6367,فندق الفردوس
441,Morgan City,US,81.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
442,Kpandae,GH,90.43,broken clouds,8.4689,-0.0113,S. Amaski Guest House
445,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
446,Ciudad Bolivar,VE,87.01,broken clouds,8.1222,-63.5497,Hotel Edi
448,Tevaitoa,PF,78.35,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
451,Rio Grande,BR,80.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
454,Akividu,IN,80.78,scattered clouds,16.6,81.3833,Santhi Inn
462,San Policarpo,PH,79.59,broken clouds,12.1791,125.5072,Agapita M. Nicart
464,Kavaratti,IN,82.89,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
467,Notse,TG,86.29,broken clouds,6.95,1.1667,Le Berceau
468,General Roca,AR,79.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
469,Arcos De La Frontera,ES,79.12,overcast clouds,36.7508,-5.8106,Parador de Arcos de la Frontera
470,Fredericksburg,US,75.43,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
474,Inongo,CD,74.12,light rain,-1.95,18.2667,Hotel Du Lac
477,Viedma,AR,70.9,clear sky,-40.8135,-62.9967,Hotel Cristal
479,Ratnagiri,IN,78.46,scattered clouds,16.9833,73.3,Hotel Landmark
480,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
482,Jacksonville Beach,US,82.63,overcast clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
483,Praya,CV,84.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
485,Port-Gentil,GA,82.36,moderate rain,-0.7193,8.7815,Fengshui Residence
487,Bara,NG,94.78,broken clouds,10.3744,10.7288,
489,Panuco,MX,84.04,overcast clouds,22.05,-98.1667,Hotel Plaza
490,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
491,Monreal,PH,79.72,overcast clouds,12.644,123.6648,3f Tourist Inn
494,Samarai,PG,81.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
495,Dong Xoai,VN,73.2,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
496,Veraval,IN,79.54,clear sky,20.9,70.3667,Lords Inn Somnath
498,Mastic Beach,US,72.01,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
501,Westport,US,73.09,clear sky,41.1415,-73.3579,The Westport Inn
503,Les Cayes,HT,87.35,broken clouds,18.2,-73.75,Villa Orphee
504,Kasane,BW,93.29,clear sky,-17.8167,25.15,The Old House
505,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
506,Aneho,TG,88.0,light rain,6.2333,1.6,Hotel La Linette
509,Montelibano,CO,84.78,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
511,Partur,IN,72.37,few clouds,19.6,76.2167,Prasanna Deshpande
512,Presidencia Roque Saenz Pena,AR,90.21,clear sky,-26.7852,-60.4388,Hotel Aconcagua
513,Dhidhdhoo,MV,82.42,overcast clouds,6.8833,73.1,Dhidhoo beach
516,Vanimo,PG,78.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
519,Trairi,BR,89.04,broken clouds,-3.2778,-39.2689,janelas do mar
523,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
524,Najran,SA,79.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
527,Manga,BF,93.29,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
